Index,Name,PAE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TPR1,TPR2,TPR3,TPR4,TPR5,TPR6,TPR7,TPR8,TPR9
1,BDeGP_mono,BDeGP,mDeGP,,,,,,,,,,1,,,,,,,,
2,BHEP_mono,BHEP,mHEP,,,,,,,,,,2,,,,,,,,
3,DMEP_mono,DMEP,mMEP,,,,,,,,,,3,,,,,,,,
4,MEEMP_mono,MEEMP,mMP,,,,,,,,,,4,,,,,,,,
5,MEEMP_mono,MEEMP,mMOEP,,,,,,,,,,5,,,,,,,,
6,DMP_mono,DMP,mMP,,,,,,,,,,6,,,,,,,,
7,BEEEP_mono,BEEEP,mBEEEP,,,,,,,,,,7,,,,,,,,
8,MeVP_mono,MeVP,mMP,,,,,,,,,,8,,,,,,,,
9,MeVP_mono,MeVP,mVP,,,,,,,,,,9,,,,,,,,
10,MeEP_mono,MeEP,mMP,,,,,,,,,,10,,,,,,,,
11,MeEP_mono,MeEP,mEP,,,,,,,,,,11,,,,,,,,
12,BDHPP_w-1,BDHPP,mBP,mHBP,,,,,,,,,12,13,,,,,,,
13,BDHPP_mOH,BDHPP,mBP,m2HBP,,,,,,,,,12,14,,,,,,,
14,BDHPP_w,BDHPP,mBP,mCPP,,,,,,,,,12,15,,,,,,,
15,BDHPP_mono,BDHPP,mDHPP,,,,,,,,,,16,,,,,,,,
16,DEEP_mono,DEEP,mEEP,,,,,,,,,,17,,,,,,,,
17,DVP_mono,DVP,mVP,,,,,,,,,,18,,,,,,,,
18,DEP_mono,DEP,mEP,,,,,,,,,,19,,,,,,,,
19,EVP_mono,EVP,mVP,,,,,,,,,,20,,,,,,,,
20,EVP_mono,EVP,mEP,,,,,,,,,,21,,,,,,,,
21,BMOPP_mono,BMOPP,mMOPP,,,,,,,,,,22,,,,,,,,
22,DiPrP_mono,DiPrP,miPrP,,,,,,,,,,23,,,,,,,,
23,EiBP_mono,EiBP,mEP,,,,,,,,,,24,,,,,,,,
24,EiBP_w,EiBP,miBP,m3HIBP,,,,,,,,,25,26,,,,,,,
25,EiBP_w-1,EiBP,miBP,mHIBP,,,,,,,,,25,27,,,,,,,
26,DAlP_mono,DAlP,mAlP,,,,,,,,,,28,,,,,,,,
27,BMP_mono,BMP,mMP,,,,,,,,,,29,,,,,,,,
28,BMP_w-1,BMP,mBP,mHBP,,,,,,,,,30,79,,,,,,,
29,BMP_mOH,BMP,mBP,m2HBP,,,,,,,,,30,80,,,,,,,
30,BMP_w,BMP,mBP,mCPP,,,,,,,,,30,81,,,,,,,
31,DtBP_mono,DtBP,mtBP,,,,,,,,,,31,,,,,,,,
32,BEP_mono,BEP,mEP,,,,,,,,,,32,,,,,,,,
33,BEP_w-1,BEP,mBP,mHBP,,,,,,,,,33,82,,,,,,,
34,BEP_mOH,BEP,mBP,m2HBP,,,,,,,,,33,83,,,,,,,
35,BEP_w,BEP,mBP,mCPP,,,,,,,,,33,84,,,,,,,
36,DsBP_mOH,DsBP,msBP,msHBP,,,,,,,,,34,35,,,,,,,
37,DPrP_mono,DPrP,mPrP,,,,,,,,,,36,,,,,,,,
38,DiBP_w,DiBP,miBP,m3HIBP,,,,,,,,,37,85,,,,,,,
39,DiBP_w-1,DiBP,miBP,mHIBP,,,,,,,,,37,86,,,,,,,
40,DCPP_mono,DCPP,mCOPP,,,,,,,,,,38,,,,,,,,
