,Up,Down,Name,Number,CooccurrenceProbability
1,BDeGP,mDeGP,mono,0,0
2,BHEP,mHEP,mono,0,0
3,DMEP,mMEP,mono,11,0.137720232
4,MEEMP,mMP,mono,0,0
5,MEEMP,mMOEP,mono,0,0
6,DMP,mMP,mono,262,0.245637412
7,BEEEP,mBEEEP,mono,0,0
8,MeVP,mMP,mono,0,0
9,MeVP,mVP,mono,0,0
10,MeEP,mMP,mono,0,0
11,MeEP,mEP,mono,0,0
12,BDHPP,mBP,mono,0,0
13,BDHPP,mHBP,w-1-OH,0,0
14,BDHPP,m2HBP,mOH,0,0
15,BDHPP,mCPP,w-ab,0,0
16,BDHPP,mDHPP,mono,0,0
17,DEEP,mEEP,mono,0,0
18,DEEP,mDeGP,w-OH,0,0
19,DVP,mVP,mono,0,0
20,DEP,mEP,mono,591,0.37953843
21,EVP,mVP,mono,0,0
22,EVP,mEP,mono,0,0
23,BMOPP,mMOPP,mono,0,0
24,DiPrP,miPrP,mono,4,0.16775414
25,EiBP,mEP,mono,0,0
26,EiBP,miBP,mono,0,0
27,EiBP,m3HIBP,w-OH,0,0
28,EiBP,mHIBP,w-1-OH,0,0
29,DAlP,mAlP,mono,0,0
30,BMP,mMP,mono,0,0
31,BMP,mBP,mono,0,0
32,DtBP,mtBP,mono,0,0
33,BEP,mEP,mono,0,0
34,BEP,mBP,mono,0,0
35,DsBP,msBP,mono,0,0
36,DsBP,msHBP,mOH,0,0
37,DPrP,mPrP,mono,12,0.125425376
38,DiBP,miBP,mono,334,0.352029809
39,DCPP,mCOPP,mono,0,0
40,BBEEP,mBEEP,mono,0,0
41,MeEHP,mMP,mono,0,0
42,MeEHP,mEHP,mono,0,0
43,MeEHP,mEHHP,w-1-OH,0,0
44,MeEHP,mEOHP,w-1-oxo,0,0
45,MeEHP,mECPP,w-COOH,0,0
46,MeEHP,mCMHP,w-COOH-br,0,0
47,MeEHP,mCPP,w-ab,0,0
48,DBEP,mBEP,mono,0,0
49,DPhP,mPhP,mono,1,0.050986794
50,HMP,mMP,mono,0,0
51,HMP,mHP,mono,0,0
52,HMP,mHHP,w-1-OH,0,0
53,HMP,mOHP,w-1-oxo,0,0
54,HMP,m5CPP,w-COOH,0,0
55,HMP,mCPP,w-ab,0,0
56,DBP,mBP,mono,897,0.4199294
57,CiBP,mCHP,mono,0,0
58,CiBP,miBP,mono,0,0
59,BuEBP,mBEP,mono,0,0
60,BuEBP,mBP,mono,0,0
61,BsBP,mBP,mono,0,0
62,BsBP,msBP,mono,0,0
63,BsBP,msHBP,mOH,0,0
64,BiBP,mBP,mono,1,0.197122172
65,BiBP,miBP,mono,1,0.197122172
66,BBzP,mBzP,mono,463,0.355576814
67,BBzP,mBP,mono,547,0.418521737
68,DCHP,mCHP,mono,69,0.217908682
69,DBzP,mBzP,mono,252,0.395374731
70,BCHP,mBP,mono,0,0
71,BCHP,mCHP,mono,0,0
72,BEBP,mEBP,mono,0,0
73,BEBP,mHEBP,w-1-OH,0,0
74,BEBP,mOEBP,w-1-oxo,0,0
75,BEBP,mCEPP,w-COOH,0,0
76,BEBP,mCPP,w-ab,0,0
77,BMPP,mMPP,mono,0,0
78,BMPP,mHMPP,w-1-OH,0,0
