Source,Target,Mechanism,CooccurrenceFrequency,CooccurrenceProbability,RelationType
BDeGP,mDeGP,mono,0,0.0,v_shape
BHEP,mHEP,mono,0,0.0,sequential
DMEP,mMEP,mono,11,0.137720232,sequential
MEEMP,mMP,mono,0,0.0,v_shape
MEEMP,mMOEP,mono,0,0.0,paternal
DMP,mMP,mono,262,0.245637412,v_shape
BEEEP,mBEEEP,mono,0,0.0,sequential
MeVP,mMP,mono,0,0.0,v_shape
MeVP,mVP,mono,0,0.0,v_shape
MeEP,mMP,mono,0,0.0,v_shape
MeEP,mEP,mono,0,0.0,v_shape
BDHPP,mBP,mono,0,0.0,v_shape
BDHPP,mHBP,w-1-OH,0,0.0,v_shape
BDHPP,m2HBP,mOH,0,0.0,v_shape
BDHPP,mCPP,w-ab,0,0.0,v_shape
BDHPP,mDHPP,mono,0,0.0,paternal
DEEP,mEEP,mono,0,0.0,paternal
DEEP,mDeGP,w-OH,0,0.0,v_shape
DVP,mVP,mono,0,0.0,v_shape
DEP,mEP,mono,591,0.37953843,v_shape
EVP,mVP,mono,0,0.0,v_shape
EVP,mEP,mono,0,0.0,v_shape
BMOPP,mMOPP,mono,0,0.0,sequential
DiPrP,miPrP,mono,4,0.16775414,sequential
EiBP,mEP,mono,0,0.0,v_shape
EiBP,miBP,mono,0,0.0,v_shape
EiBP,m3HIBP,w-OH,0,0.0,v_shape
EiBP,mHIBP,w-1-OH,0,0.0,v_shape
DAlP,mAlP,mono,0,0.0,sequential
BMP,mMP,mono,0,0.0,v_shape
BMP,mBP,mono,0,0.0,v_shape
BMP,mHBP,w-1-OH,0,0.0,v_shape
BMP,m2HBP,mOH,0,0.0,v_shape
BMP,mCPP,w-ab,0,0.0,v_shape
DtBP,mtBP,mono,0,0.0,sequential
BEP,mEP,mono,0,0.0,v_shape
BEP,mBP,mono,0,0.0,v_shape
BEP,mHBP,w-1-OH,0,0.0,v_shape
BEP,m2HBP,mOH,0,0.0,v_shape
BEP,mCPP,w-ab,0,0.0,v_shape
DsBP,msBP,mono,0,0.0,v_shape
DsBP,msHBP,mOH,0,0.0,v_shape
DPrP,mPrP,mono,12,0.125425376,sequential
DiBP,miBP,mono,334,0.352029809,v_shape
DiBP,m3HIBP,w-OH,0,0.0,v_shape
DiBP,mHIBP,w-1-OH,1,0.012753192,v_shape
DCPP,mCOPP,mono,0,0.0,sequential
BBEEP,mBEEP,mono,0,0.0,sequential
MeEHP,mMP,mono,0,0.0,v_shape
MeEHP,mEHP,mono,0,0.0,v_shape
MeEHP,mEHHP,w-1-OH,0,0.0,v_shape
MeEHP,mEOHP,w-1-oxo,0,0.0,v_shape
MeEHP,mECPP,w-COOH,0,0.0,v_shape
MeEHP,mCMHP,w-COOH-br,0,0.0,v_shape
MeEHP,mCPP,w-ab,0,0.0,v_shape
DBEP,mBEP,mono,0,0.0,v_shape
DPhP,mPhP,mono,1,0.050986794,sequential
HMP,mMP,mono,0,0.0,v_shape
HMP,mHP,mono,0,0.0,v_shape
HMP,mHHP,w-1-OH,0,0.0,v_shape
HMP,mOHP,w-1-oxo,0,0.0,v_shape
HMP,m5CPP,w-COOH,0,0.0,v_shape
HMP,mCPP,w-ab,0,0.0,v_shape
DBP,mBP,mono,897,0.4199294,v_shape
DBP,mHBP,w-1-OH,14,0.011794434,v_shape
DBP,m2HBP,mOH,3,0.00671008,v_shape
DBP,mCPP,w-ab,221,0.107472733,v_shape
CiBP,mCHP,mono,0,0.0,v_shape
CiBP,miBP,mono,0,0.0,v_shape
CiBP,m3HIBP,w-OH,0,0.0,v_shape
CiBP,mHIBP,w-1-OH,0,0.0,v_shape
BuEBP,mBEP,mono,0,0.0,v_shape
BuEBP,mBP,mono,0,0.0,v_shape
BuEBP,mHBP,w-1-OH,0,0.0,v_shape
BuEBP,m2HBP,mOH,0,0.0,v_shape
BuEBP,mCPP,w-ab,0,0.0,v_shape
BsBP,mBP,mono,0,0.0,v_shape
BsBP,mHBP,w-1-OH,0,0.0,v_shape
BsBP,m2HBP,mOH,0,0.0,v_shape
BsBP,mCPP,w-ab,0,0.0,v_shape
BsBP,msBP,mono,0,0.0,v_shape
BsBP,msHBP,mOH,0,0.0,v_shape
BiBP,mBP,mono,1,0.197122172,v_shape
BiBP,mHBP,w-1-OH,0,0.0,v_shape
BiBP,m2HBP,mOH,0,0.0,v_shape
BiBP,mCPP,w-ab,0,0.0,v_shape
BiBP,miBP,mono,1,0.197122172,v_shape
BiBP,m3HIBP,w-OH,0,0.0,v_shape
BiBP,mHIBP,w-1-OH,0,0.0,v_shape
BBzP,mBzP,mono,463,0.355576814,v_shape
BBzP,mBP,mono,547,0.418521737,v_shape
BBzP,mHBP,w-1-OH,14,0.019121212,v_shape
BBzP,m2HBP,mOH,3,0.010878425,v_shape
BBzP,mCPP,w-ab,134,0.109042531,v_shape
DCHP,mCHP,mono,69,0.217908682,v_shape
DBzP,mBzP,mono,252,0.395374731,v_shape
BCHP,mBP,mono,0,0.0,v_shape
BCHP,mHBP,w-1-OH,0,0.0,v_shape
BCHP,m2HBP,mOH,0,0.0,v_shape
BCHP,mCPP,w-ab,0,0.0,v_shape
BCHP,mCHP,mono,0,0.0,v_shape
BEBP,mEBP,mono,0,0.0,paternal
BEBP,mHEBP,w-1-OH,0,0.0,paternal
BEBP,mOEBP,w-1-oxo,0,0.0,paternal
BEBP,mCEPP,w-COOH,0,0.0,paternal
BEBP,mCPP,w-ab,0,0.0,v_shape
BMPP,mMPP,mono,0,0.0,paternal
BMPP,mHMPP,w-1-OH,0,0.0,paternal
BMPP,mOMPP,w-1-oxo,0,0.0,paternal
BMPP,40CMP,w-COOH,0,0.0,paternal
BMPP,mCPP,w-ab,0,0.0,v_shape
MeOP,mMP,mono,0,0.0,v_shape
MeOP,mOP,mono,0,0.0,v_shape
MeOP,mHOP,w-1-OH,0,0.0,v_shape
MeOP,mOOP,w-1-oxo,0,0.0,v_shape
MeOP,mCHpP,w-COOH,0,0.0,v_shape
MeOP,mCPP,w-ab,0,0.0,v_shape
DiPP,miPP,mono,3,0.140263361,paternal
DiPP,m3HPP,w-1-OH,1,0.12093969,paternal
DiPP,m4HPeP,w-OH,1,0.12093969,paternal
DiPP,42CMP,w-COOH,0,0.0,paternal
DiPP,mCPP,w-ab,3,0.140263361,v_shape
BEHP,mBP,mono,0,0.0,v_shape
BEHP,mHBP,w-1-OH,0,0.0,v_shape
BEHP,m2HBP,mOH,0,0.0,v_shape
BEHP,mEHP,mono,0,0.0,v_shape
BEHP,mEHHP,w-1-OH,0,0.0,v_shape
BEHP,mEOHP,w-1-oxo,0,0.0,v_shape
BEHP,mECPP,w-COOH,0,0.0,v_shape
BEHP,mCMHP,w-COOH-br,0,0.0,v_shape
BEHP,mCPP,w-ab,0,0.0,v_shape
BMePP,mMePP,mono,0,0.0,paternal
BMePP,mHMePP,w-1-OH,0,0.0,paternal
BMePP,mOMePP,w-1-oxo,0,0.0,paternal
BMePP,44CMP,w-COOH,0,0.0,paternal
BMePP,mCPP,w-ab,0,0.0,v_shape
BEBuP,mEBuP,mono,0,0.0,paternal
BEBuP,mHEBuP,w-1-OH,0,0.0,paternal
BEBuP,mOEBuP,w-1-oxo,0,0.0,paternal
BEBuP,45CMP,w-COOH,0,0.0,paternal
BEBuP,mCPP,w-ab,0,0.0,v_shape
BHP,mBP,mono,0,0.0,v_shape
BHP,m2HBP,mOH,0,0.0,v_shape
BHP,mHBP,w-1-OH,0,0.0,v_shape
BHP,mHP,mono,0,0.0,v_shape
BHP,mHHP,w-1-OH,0,0.0,v_shape
BHP,mOHP,w-1-oxo,0,0.0,v_shape
BHP,m5CPP,w-COOH,0,0.0,v_shape
BHP,mCPP,w-ab,0,0.0,v_shape
DPP,mPP,mono,41,0.137300021,v_shape
DPP,m4HPP,w-1-OH,6,0.045796753,v_shape
DPP,m4OPP,w-1-oxo,0,0.0,v_shape
DPP,mCBP,w-COOH,1,0.032724857,v_shape
DPP,mCPP,w-ab,26,0.098084334,v_shape
DHeP,mHexP,mono,0,0.0,sequential
B2MePP,m2MePP,mono,0,0.0,paternal
B2MePP,mH2MePP,w-1-OH,0,0.0,paternal
B2MePP,mO2MePP,w-1-oxo,0,0.0,paternal
B2MePP,49CMP,w-COOH,0,0.0,paternal
B2MePP,mCPP,w-ab,0,0.0,v_shape
DiHP,miHP,mono,0,0.0,paternal
DiHP,miHHP,w-1-OH,0,0.0,paternal
DiHP,50CMP,w-COOH,0,0.0,paternal
B3MePP,m3MePP,mono,0,0.0,paternal
B3MePP,mH3MePP,w-1-OH,0,0.0,paternal
B3MePP,mO3MePP,w-1-oxo,0,0.0,paternal
B3MePP,51CMP,w-COOH,0,0.0,paternal
B3MePP,mCPP,w-ab,0,0.0,v_shape
HEHP,mHP,mono,0,0.0,v_shape
HEHP,mHHP,w-1-OH,0,0.0,v_shape
HEHP,mOHP,w-1-oxo,0,0.0,v_shape
HEHP,m5CPP,w-COOH,0,0.0,v_shape
HEHP,mCPP,w-ab,0,0.0,v_shape
HEHP,mEHP,mono,0,0.0,v_shape
HEHP,mEHHP,w-1-OH,0,0.0,v_shape
HEHP,mEOHP,w-1-oxo,0,0.0,v_shape
HEHP,mECPP,w-COOH,0,0.0,v_shape
HEHP,mCMHP,w-COOH-br,0,0.0,v_shape
BuMHP,mBP,mono,0,0.0,v_shape
BuMHP,m2HBP,mOH,0,0.0,v_shape
BuMHP,mHBP,w-1-OH,0,0.0,v_shape
BuMHP,mMHP,mono,0,0.0,v_shape
BuMHP,mHMHP,w-1-OH,0,0.0,v_shape
BuMHP,mOMHP,w-1-oxo,0,0.0,v_shape
BuMHP,66CMP,w-COOH,0,0.0,v_shape
BuMHP,mCPP,w-ab,0,0.0,v_shape
BPhPP,mPhPP,mono,0,0.0,sequential
BOP,mBP,mono,0,0.0,v_shape
BOP,m2HBP,mOH,0,0.0,v_shape
BOP,mHBP,w-1-OH,0,0.0,v_shape
BOP,mOP,mono,0,0.0,v_shape
BOP,mHOP,w-1-OH,0,0.0,v_shape
BOP,mOOP,w-1-oxo,0,0.0,v_shape
BOP,mCHpP,w-COOH,0,0.0,v_shape
BOP,mCPP,w-ab,0,0.0,v_shape
DHP,mHP,mono,18,0.104485869,v_shape
DHP,mHHP,w-1-OH,0,0.0,v_shape
DHP,mOHP,w-1-oxo,0,0.0,v_shape
DHP,m5CPP,w-COOH,0,0.0,v_shape
DHP,mCPP,w-ab,15,0.0938664,v_shape
DEMPP,mEMPP,mono,0,0.0,paternal
DEMPP,mHEMPP,w-1-OH,0,0.0,paternal
DEMPP,mOEMPP,w-1-oxo,0,0.0,paternal
DEMPP,57CMP,w-COOH,0,0.0,paternal
DEMPP,mCPP,w-ab,0,0.0,v_shape
BeOP,mBzP,mono,0,0.0,v_shape
BeOP,mOP,mono,0,0.0,v_shape
BeOP,mHOP,w-1-OH,0,0.0,v_shape
BeOP,mOOP,w-1-oxo,0,0.0,v_shape
BeOP,mCHpP,w-COOH,0,0.0,v_shape
BeOP,mCPP,w-ab,0,0.0,v_shape
CiOP,mCHP,mono,0,0.0,v_shape
CiOP,miOP,mono,0,0.0,v_shape
CiOP,mHiOP,w-1-OH,0,0.0,v_shape
CiOP,71CMP,w-COOH,0,0.0,v_shape
CiOP,mCPP,w-ab,0,0.0,v_shape
BNP,mBP,mono,0,0.0,v_shape
BNP,m2HBP,mOH,0,0.0,v_shape
BNP,mHBP,w-1-OH,0,0.0,v_shape
BNP,mNP,mono,0,0.0,v_shape
BNP,mHNP,w-1-OH,0,0.0,v_shape
BNP,mONP,w-1-oxo,0,0.0,v_shape
BNP,m8COP,w-COOH,0,0.0,v_shape
BNP,mCPP,w-ab,0,0.0,v_shape
DiHpP,miHpP,mono,0,0.0,paternal
DiHpP,mHiHpP,w-1-OH,0,0.0,paternal
DiHpP,61CMP,w-COOH,0,0.0,paternal
DiHpP,mCPP,w-ab,9,0.157220367,v_shape
DPrPP,mPrPP,mono,0,0.0,paternal
DPrPP,mHPrPP,w-1-OH,0,0.0,paternal
DPrPP,mOPrPP,w-1-oxo,0,0.0,paternal
DPrPP,62CMP,w-COOH,0,0.0,paternal
DPrPP,mCPP,w-ab,0,0.0,v_shape
DEHP,mEHP,mono,1417,0.529767201,v_shape
DEHP,mEHHP,w-1-OH,637,0.240503341,v_shape
DEHP,mEOHP,w-1-oxo,666,0.251258023,v_shape
DEHP,mECPP,w-COOH,490,0.185988228,v_shape
DEHP,mCMHP,w-COOH-br,144,0.057673747,v_shape
DEHP,mCPP,w-ab,261,0.101063326,v_shape
BMNP,mBP,mono,0,0.0,v_shape
BMNP,m2HBP,mOH,0,0.0,v_shape
BMNP,mHBP,w-1-OH,0,0.0,v_shape
BMNP,miDP,mono,0,0.0,v_shape
BMNP,mHiDP,w-1-OH,0,0.0,v_shape
BMNP,mCiNP,w-COOH,0,0.0,v_shape
BMNP,mCPP,w-ab,0,0.0,v_shape
HiOP,mHP,mono,0,0.0,v_shape
HiOP,mHHP,w-1-OH,0,0.0,v_shape
HiOP,mOHP,w-1-oxo,0,0.0,v_shape
