Up,UpScreeningResult,Down,DownScreeningResult,Name
BDeGP,Level 2,mDeGP,Level 2,mono
BHEP,Level 3,mHEP,Level 2,mono
DMEP,ND,mMEP,Level 2,mono
MEEMP,Level 4,mMP,Level 1,mono
MEEMP,Level 4,mMOEP,Level 2,mono
DMP,Level 1,mMP,Level 1,mono
BEEEP,Level 4,mBEEEP,Level 2,mono
MeVP,Level 2,mMP,Level 1,mono
MeVP,Level 2,mVP,ND,mono
MeEP,ND,mMP,Level 1,mono
MeEP,ND,mEP,Level 1,mono
BDHPP,Level 4,mBP,Level 1,mono
BDHPP,Level 4,mHBP,Level 2,w-1-OH
BDHPP,Level 4,m2HBP,Level 2,mOH
BDHPP,Level 4,mCPP,Level 2,w-ab
BDHPP,Level 4,mDHPP,ND,mono
DEEP,ND,mEEP,Level 2,mono
DVP,ND,mVP,ND,mono
DEP,Level 1,mEP,Level 1,mono
EVP,Level 4,mVP,ND,mono
EVP,Level 4,mEP,Level 1,mono
BMOPP,ND,mMOPP,ND,mono
DiPrP,Level 4,miPrP,ND,mono
EiBP,Level 4,mEP,Level 1,mono
EiBP,Level 4,miBP,Level 1,mono
EiBP,Level 4,m3HIBP,ND,w-OH
EiBP,Level 4,mHIBP,Level 2,w-1-OH
DAlP,Level 1,mAlP,Level 3,mono
BMP,ND,mMP,Level 1,mono
BMP,ND,mBP,Level 1,mono
DtBP,ND,mtBP,Level 2,mono
BEP,Level 4,mEP,Level 1,mono
BEP,Level 4,mBP,Level 1,mono
DsBP,ND,msBP,Level 2,mono
DsBP,ND,msHBP,ND,mOH
DPrP,Level 4,mPrP,Level 2,mono
DiBP,Level 1,miBP,Level 1,mono
DCPP,ND,mCOPP,ND,mono
BBEEP,Level 4,mBEEP,Level 2,mono
MeEHP,ND,mMP,Level 1,mono
MeEHP,ND,mEHP,Level 1,mono
MeEHP,ND,mEHHP,Level 1,w-1-OH
MeEHP,ND,mEOHP,Level 1,w-1-oxo
MeEHP,ND,mECPP,Level 2,w-COOH
MeEHP,ND,mCMHP,Level 2,w-COOH-br
MeEHP,ND,mCPP,Level 2,w-ab
DBEP,ND,mBEP,Level 2,mono
DPhP,ND,mPhP,Level 3,mono
HMP,ND,mMP,Level 1,mono
HMP,ND,mHP,ND,mono
HMP,ND,mHHP,ND,w-1-OH
HMP,ND,mOHP,Level 4,w-1-oxo
HMP,ND,m5CPP,ND,w-COOH
HMP,ND,mCPP,Level 2,w-ab
DBP,Level 1,mBP,Level 1,mono
CiBP,ND,mCHP,ND,mono
CiBP,ND,miBP,Level 1,mono
BuEBP,ND,mBEP,Level 2,mono
BuEBP,ND,mBP,Level 1,mono
BsBP,Level 2,mBP,Level 1,mono
BsBP,Level 2,msBP,Level 2,mono
BsBP,Level 2,msHBP,ND,mOH
BiBP,Level 2,mBP,Level 1,mono
BiBP,Level 2,miBP,Level 1,mono
BBzP,ND,mBzP,ND,mono
BBzP,ND,mBP,Level 1,mono
DCHP,ND,mCHP,ND,mono
DBzP,ND,mBzP,ND,mono
BCHP,ND,mBP,Level 1,mono
BCHP,ND,mCHP,ND,mono
BEBP,Level 4,mEBP,ND,mono
BEBP,Level 4,mHEBP,ND,w-1-OH
BEBP,Level 4,mOEBP,ND,w-1-oxo
BEBP,Level 4,mCEPP,Level 2,w-COOH
BEBP,Level 4,mCPP,Level 2,w-ab
BMPP,Level 4,mMPP,ND,mono
BMPP,Level 4,mHMPP,ND,w-1-OH
BMPP,Level 4,mOMPP,ND,w-1-oxo
BMP,ND,mHBP,Level 2,w-1-OH
BMP,ND,m2HBP,Level 2,mOH
BMP,ND,mCPP,Level 2,w-ab
BEP,Level 4,mHBP,Level 2,w-1-OH
BEP,Level 4,m2HBP,Level 2,mOH
BEP,Level 4,mCPP,Level 2,w-ab
DiBP,Level 1,m3HIBP,ND,w-OH
DiBP,Level 1,mHIBP,Level 2,w-1-OH
DBP,Level 1,mHBP,Level 2,w-1-OH
DBP,Level 1,m2HBP,Level 2,mOH
DBP,Level 1,mCPP,Level 2,w-ab
CiBP,ND,m3HIBP,ND,w-OH
CiBP,ND,mHIBP,Level 2,w-1-OH
BuEBP,ND,mHBP,Level 2,w-1-OH
BuEBP,ND,m2HBP,Level 2,mOH
BuEBP,ND,mCPP,Level 2,w-ab
BsBP,Level 2,mHBP,Level 2,w-1-OH
BsBP,Level 2,m2HBP,Level 2,mOH
BsBP,Level 2,mCPP,Level 2,w-ab
BiBP,Level 2,mHBP,Level 2,w-1-OH
BiBP,Level 2,m2HBP,Level 2,mOH
BiBP,Level 2,mCPP,Level 2,w-ab
BiBP,Level 2,m3HIBP,ND,w-OH
BiBP,Level 2,mHIBP,Level 2,w-1-OH
BBzP,ND,mHBP,Level 2,w-1-OH
BBzP,ND,m2HBP,Level 2,mOH
BBzP,ND,mCPP,Level 2,w-ab
BCHP,ND,mHBP,Level 2,w-1-OH
BCHP,ND,m2HBP,Level 2,mOH
BCHP,ND,mCPP,Level 2,w-ab
BMPP,Level 4,40CMP,ND,w-COOH
BMPP,Level 4,mCPP,Level 2,w-ab
MeOP,Level 2,mMP,Level 1,mono
MeOP,Level 2,mOP,ND,mono
MeOP,Level 2,mHOP,Level 2,w-1-OH
MeOP,Level 2,mOOP,Level 2,w-1-oxo
MeOP,Level 2,mCHpP,Level 2,w-COOH
MeOP,Level 2,mCPP,Level 2,w-ab
DiPP,ND,miPP,ND,mono
DiPP,ND,m3HPP,Level 2,w-1-OH
DiPP,ND,m4HPeP,Level 2,w-OH
DiPP,ND,42CMP,ND,w-COOH
DiPP,ND,mCPP,Level 2,w-ab
BEHP,Level 4,mBP,Level 1,mono
BEHP,Level 4,mHBP,Level 2,w-1-OH
BEHP,Level 4,m2HBP,Level 2,mOH
BEHP,Level 4,mEHP,Level 1,mono
BEHP,Level 4,mEHHP,Level 1,w-1-OH
BEHP,Level 4,mEOHP,Level 1,w-1-oxo
BEHP,Level 4,mECPP,Level 2,w-COOH
BEHP,Level 4,mCMHP,Level 2,w-COOH-br
BEHP,Level 4,mCPP,Level 2,w-ab
BMePP,Level 4,mMePP,ND,mono
BMePP,Level 4,mHMePP,ND,w-1-OH
BMePP,Level 4,mOMePP,ND,w-1-oxo
BMePP,Level 4,44CMP,ND,w-COOH
BMePP,Level 4,mCPP,Level 2,w-ab
BEBuP,Level 4,mEBuP,ND,mono
BEBuP,Level 4,mHEBuP,ND,w-1-OH
BEBuP,Level 4,mOEBuP,ND,w-1-oxo
BEBuP,Level 4,45CMP,ND,w-COOH
BEBuP,Level 4,mCPP,Level 2,w-ab
BHP,ND,mBP,Level 1,mono
BHP,ND,m2HBP,Level 2,mOH
BHP,ND,mHBP,Level 2,w-1-OH
BHP,ND,mHP,ND,mono
BHP,ND,mHHP,ND,w-1-OH
BHP,ND,mOHP,Level 4,w-1-oxo
BHP,ND,m5CPP,ND,w-COOH
BHP,ND,mCPP,Level 2,w-ab
DPP,ND,mPP,Level 2,mono
DPP,ND,m4HPP,Level 2,w-1-OH
DPP,ND,m4OPP,ND,w-1-oxo
DPP,ND,mCBP,Level 4,w-COOH
DPP,ND,mCPP,Level 2,w-ab
DHeP,ND,mHexP,ND,mono
B2MePP,Level 4,m2MePP,ND,mono
B2MePP,Level 4,mH2MePP,ND,w-1-OH
B2MePP,Level 4,mO2MePP,ND,w-1-oxo
B2MePP,Level 4,49CMP,ND,w-COOH
B2MePP,Level 4,mCPP,Level 2,w-ab
DiHP,ND,miHP,ND,mono
DiHP,ND,miHHP,ND,w-1-OH
DiHP,ND,50CMP,ND,w-COOH
B3MePP,ND,m3MePP,ND,mono
B3MePP,ND,mH3MePP,ND,w-1-OH
B3MePP,ND,mO3MePP,ND,w-1-oxo
B3MePP,ND,51CMP,ND,w-COOH
B3MePP,ND,mCPP,Level 2,w-ab
HEHP,Level 4,mHP,ND,mono
HEHP,Level 4,mHHP,ND,w-1-OH
HEHP,Level 4,mOHP,Level 4,w-1-oxo
HEHP,Level 4,m5CPP,ND,w-COOH
