Node,BaseProbability
BDeGP,0.5
mDeGP,0.5
BHEP,0.5
mHEP,0.5
DMEP,0.5
mMEP,0.5
MEEMP,0.5
mMP,0.5
mMOEP,0.5
DMP,0.5
BEEEP,0.5
mBEEEP,0.5
MeVP,0.5
mVP,0.5
MeEP,0.5
mEP,0.5
BDHPP,0.5
mBP,0.5
mHBP,0.5
m2HBP,0.5
mCPP,0.5
mDHPP,0.5
DEEP,0.5
mEEP,0.5
DVP,0.5
DEP,0.5
EVP,0.5
BMOPP,0.5
mMOPP,0.5
DiPrP,0.5
miPrP,0.5
EiBP,0.5
miBP,0.5
m3HIBP,0.5
mHIBP,0.5
DAlP,0.5
mAlP,0.5
BMP,0.5
DtBP,0.5
mtBP,0.5
BEP,0.5
DsBP,0.5
msBP,0.5
msHBP,0.5
DPrP,0.5
mPrP,0.5
DiBP,0.5
DCPP,0.5
mCOPP,0.5
BBEEP,0.5
mBEEP,0.5
MeEHP,0.5
mEHP,0.5
mEHHP,0.5
mEOHP,0.5
mECPP,0.5
mCMHP,0.5
DBEP,0.5
mBEP,0.5
DPhP,0.5
mPhP,0.5
HMP,0.5
mHP,0.5
mHHP,0.5
mOHP,0.5
m5CPP,0.5
DBP,0.5
CiBP,0.5
mCHP,0.5
BuEBP,0.5
BsBP,0.5
BiBP,0.5
BBzP,0.5
mBzP,0.5
DCHP,0.5
DBzP,0.5
BCHP,0.5
BEBP,0.5
mEBP,0.5
mHEBP,0.5
mOEBP,0.5
mCEPP,0.5
BMPP,0.5
mMPP,0.5
mHMPP,0.5
mOMPP,0.5
40CMP,0.5
MeOP,0.5
mOP,0.5
mHOP,0.5
mOOP,0.5
mCHpP,0.5
DiPP,0.5
miPP,0.5
m3HPP,0.5
m4HPeP,0.5
42CMP,0.5
BEHP,0.5
BMePP,0.5
mMePP,0.5
mHMePP,0.5
mOMePP,0.5
44CMP,0.5
BEBuP,0.5
mEBuP,0.5
mHEBuP,0.5
mOEBuP,0.5
45CMP,0.5
BHP,0.5
DPP,0.5
mPP,0.5
m4HPP,0.5
m4OPP,0.5
mCBP,0.5
DHeP,0.5
mHexP,0.5
B2MePP,0.5
m2MePP,0.5
mH2MePP,0.5
mO2MePP,0.5
49CMP,0.5
DiHP,0.5
miHP,0.5
miHHP,0.5
50CMP,0.5
B3MePP,0.5
m3MePP,0.5
mH3MePP,0.5
mO3MePP,0.5
51CMP,0.5
HEHP,0.5
BuMHP,0.5
mMHP,0.5
mHMHP,0.5
mOMHP,0.5
66CMP,0.5
BPhPP,0.5
mPhPP,0.5
BOP,0.5
DHP,0.5
DEMPP,0.5
mEMPP,0.5
mHEMPP,0.5
mOEMPP,0.5
57CMP,0.5
BeOP,0.5
CiOP,0.5
miOP,0.5
mHiOP,0.5
71CMP,0.5
BNP,0.5
mNP,0.5
mHNP,0.5
mONP,0.5
m8COP,0.5
DiHpP,0.5
miHpP,0.5
mHiHpP,0.5
61CMP,0.5
DPrPP,0.5
mPrPP,0.5
mHPrPP,0.5
mOPrPP,0.5
62CMP,0.5
DEHP,0.5
BMNP,0.5
miDP,0.5
mHiDP,0.5
mCiNP,0.5
HiOP,0.5
DHpP,0.5
mHpP,0.5
BMHP,0.5
MNPMP,0.5
BDP,0.5
mDP,0.5
m9PHHP,0.5
mPHHP,0.5
m1POHP,0.5
mCNP,0.5
m9POHP,0.5
NPP,0.5
mHHpP,0.5
mOHpP,0.5
mCHxP,0.5
DiOP,0.5
EHiDP,0.5
HiDP,0.5
iNiOP,0.5
miNP,0.5
mHiNP,0.5
DPrHP,0.5
mHPrHP,0.5
mCiOP,0.5
HNP,0.5
DOP,0.5
HDP,0.5
BCHPP,0.5
mCHxPP,0.5
iONP,0.5
iDiOP,0.5
BMOP,0.5
mMOP,0.5
mHMOP,0.5
mOMOP,0.5
81CMP,0.5
B4MOP,0.5
m4MOP,0.5
mH4MOP,0.5
mO4MOP,0.5
mCMEHP,0.5
DiNP,0.5
mPrHP,0.5
mPOHP,0.5
mPCHP,0.5
iDOP,0.5
DeiOP,0.5
iNNP,0.5
ODP,0.5
HUP,0.5
mUP,0.5
mHUP,0.5
mOUP,0.5
mCDP,0.5
DNP,0.5
iDiNP,0.5
iOiUP,0.5
miUP,0.5
mHiUP,0.5
109CMP,0.5
DDcP,0.5
mDcP,0.5
iOUP,0.5
DeiNP,0.5
HiTP,0.5
miTP,0.5
mHiTP,0.5
121CMP,0.5
iDNP,0.5
iNiUP,0.5
DiDP,0.5
DeNP,0.5
iNUP,0.5
iUNP,0.5
NUP,0.5
DDP,0.5
DeiUP,0.5
iDUP,0.5
NTP,0.5
mTDP,0.5
mHTDP,0.5
mOTDP,0.5
107CMP,0.5
iNiTP,0.5
DiUP,0.5
DeUP,0.5
BTNP,0.5
mTNP,0.5
mHTNP,0.5
111CMP,0.5
iUUP,0.5
iTNP,0.5
DUP,0.5
iDiTP,0.5
iDTP,0.5
mTP,0.5
mHTP,0.5
mOTP,0.5
122CMP,0.5
DeiTP,0.5
iTiUP,0.5
iTUP,0.5
DDdP,0.5
mDdP,0.5
mHDdP,0.5
mODdP,0.5
120CMP,0.5
DiTP,0.5
DTP,0.5
DOcP,0.5
mOcP,0.5
mHOcP,0.5
mOOcP,0.5
123CMP,0.5
