Node,Type,ScreeningResult
BDeGP,up,Level 2
mDeGP,down,Level 2
BHEP,up,Level 3
mHEP,down,Level 2
DMEP,up,ND
mMEP,down,Level 2
MEEMP,up,Level 4
mMP,down,Level 1
mMOEP,down,Level 2
DMP,up,Level 1
BEEEP,up,Level 4
mBEEEP,down,Level 2
MeVP,up,Level 2
mVP,down,ND
MeEP,up,ND
mEP,down,Level 1
BDHPP,up,Level 4
mBP,down,Level 1
mHBP,down,Level 2
m2HBP,down,Level 2
mCPP,down,Level 2
mDHPP,down,ND
DEEP,up,ND
mEEP,down,Level 2
DVP,up,ND
DEP,up,Level 1
EVP,up,Level 4
BMOPP,up,ND
mMOPP,down,ND
DiPrP,up,Level 4
miPrP,down,ND
EiBP,up,Level 4
miBP,down,Level 1
m3HIBP,down,ND
mHIBP,down,Level 2
DAlP,up,Level 1
mAlP,down,Level 3
BMP,up,ND
DtBP,up,ND
mtBP,down,Level 2
BEP,up,Level 4
DsBP,up,ND
msBP,down,Level 2
msHBP,down,ND
DPrP,up,Level 4
mPrP,down,Level 2
DiBP,up,Level 1
DCPP,up,ND
mCOPP,down,ND
BBEEP,up,Level 4
mBEEP,down,Level 2
MeEHP,up,ND
mEHP,down,Level 1
mEHHP,down,Level 1
mEOHP,down,Level 1
mECPP,down,Level 2
mCMHP,down,Level 2
DBEP,up,ND
mBEP,down,Level 2
DPhP,up,ND
mPhP,down,Level 3
HMP,up,ND
mHP,down,ND
mHHP,down,ND
mOHP,down,Level 4
m5CPP,down,ND
DBP,up,Level 1
CiBP,up,ND
mCHP,down,ND
BuEBP,up,ND
BsBP,up,Level 2
BiBP,up,Level 2
BBzP,up,ND
mBzP,down,ND
DCHP,up,ND
DBzP,up,ND
BCHP,up,ND
BEBP,up,Level 4
mEBP,down,ND
mHEBP,down,ND
mOEBP,down,ND
mCEPP,down,Level 2
BMPP,up,Level 4
mMPP,down,ND
mHMPP,down,ND
mOMPP,down,ND
40CMP,down,ND
MeOP,up,Level 2
mOP,down,ND
mHOP,down,Level 2
mOOP,down,Level 2
mCHpP,down,Level 2
DiPP,up,ND
miPP,down,ND
m3HPP,down,Level 2
m4HPeP,down,Level 2
42CMP,down,ND
BEHP,up,Level 4
BMePP,up,Level 4
mMePP,down,ND
mHMePP,down,ND
mOMePP,down,ND
44CMP,down,ND
BEBuP,up,Level 4
mEBuP,down,ND
mHEBuP,down,ND
mOEBuP,down,ND
45CMP,down,ND
BHP,up,ND
DPP,up,ND
mPP,down,Level 2
m4HPP,down,Level 2
m4OPP,down,ND
mCBP,down,Level 4
DHeP,up,ND
mHexP,down,ND
B2MePP,up,Level 4
m2MePP,down,ND
mH2MePP,down,ND
mO2MePP,down,ND
49CMP,down,ND
DiHP,up,ND
miHP,down,ND
miHHP,down,ND
50CMP,down,ND
B3MePP,up,ND
m3MePP,down,ND
mH3MePP,down,ND
mO3MePP,down,ND
51CMP,down,ND
HEHP,up,Level 4
BuMHP,up,Level 4
mHMHP,down,ND
mOMHP,down,ND
66CMP,down,ND
BPhPP,up,ND
mPhPP,down,ND
BOP,up,Level 4
DHP,up,ND
DEMPP,up,ND
mEMPP,down,ND
mHEMPP,down,ND
mOEMPP,down,ND
57CMP,down,ND
BeOP,up,ND
CiOP,up,Level 4
miOP,down,ND
mHiOP,down,ND
71CMP,down,ND
BNP,up,ND
mNP,down,Level 2
mHNP,down,ND
mONP,down,ND
m8COP,down,ND
DiHpP,up,Level 4
miHpP,down,ND
mHiHpP,down,ND
61CMP,down,ND
DPrPP,up,Level 2
mPrPP,down,ND
mHPrPP,down,ND
mOPrPP,down,ND
62CMP,down,ND
DEHP,up,Level 1
BMNP,up,Level 4
miDP,down,ND
mHiDP,down,ND
mCiNP,down,Level 3
HiOP,up,Level 4
DHpP,up,ND
mHpP,down,ND
BMHP,up,Level 2
mMHP,down,ND
MNPMP,up,ND
BDP,up,ND
mDP,down,ND
m9PHHP,down,ND
mPHHP,down,ND
m1POHP,down,ND
mCNP,down,Level 3
m9POHP,down,ND
NPP,up,ND
mHHpP,down,ND
mOHpP,down,Level 2
mCHxP,down,Level 2
DiOP,up,ND
EHiDP,up,ND
HiDP,up,ND
iNiOP,up,Level 2
miNP,down,ND
mHiNP,down,ND
DPrHP,up,Level 2
